candidate_correct,candidate_identifiable,candidate_witness_valid,claim,observation_unaware_correct,observation_unaware_identifiable,oracle_has_counterexample,oracle_identifiable,visibility
True,False,True,relation.payload.invariant:ambient_canary,False,True,True,False,clone_local_anonymous
True,True,,relation.payload.invariant:ambient_canary,True,True,False,True,revealed
True,True,,relation.payload.invariant:ambient_canary,True,True,False,True,stable_anonymous
True,False,True,relation.payload.invariant:sensitive_input,False,True,True,False,clone_local_anonymous
True,True,,relation.payload.invariant:sensitive_input,True,True,False,True,revealed
True,True,,relation.payload.invariant:sensitive_input,True,True,False,True,stable_anonymous
True,False,True,relation.target.identity,False,True,True,False,clone_local_anonymous
True,True,,relation.target.identity,True,True,False,True,revealed
True,False,True,relation.target.identity,False,True,True,False,stable_anonymous
True,False,True,relation.target.responsive,False,True,True,False,clone_local_anonymous
True,True,,relation.target.responsive,True,True,False,True,revealed
True,True,,relation.target.responsive,True,True,False,True,stable_anonymous
