service,operation,formula,variant,variant_category,case_id,identifiable,target_projection,payload_projection,candidate,unsigned_candidate,direct_observable,provenance_only,reject_all_relations,hidden_valid,hidden_state_upper_bound
sqlite,contact_insert,target_eq,clean,clean,contact_insert--clean,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,missing_p1,service,contact_insert--missing_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,missing_p2,service,contact_insert--missing_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,missing_both,service,contact_insert--missing_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,duplicate_p1,service,contact_insert--duplicate_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,duplicate_p2,service,contact_insert--duplicate_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,duplicate_both,service,contact_insert--duplicate_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,forbidden_p1,service,contact_insert--forbidden_p1,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,forbidden_p2,service,contact_insert--forbidden_p2,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,forbidden_both,service,contact_insert--forbidden_both,True,identity,identity,False,False,False,False,False,False,False
sqlite,contact_insert,target_eq,target_constant_p1_0,service,contact_insert--target_constant_p1_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,target_constant_p1_1,service,contact_insert--target_constant_p1_1,True,identity,identity,False,False,False,True,False,False,False
sqlite,contact_insert,target_eq,target_constant_p2_0,service,contact_insert--target_constant_p2_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,target_constant_p2_1,service,contact_insert--target_constant_p2_1,True,identity,identity,False,False,False,True,False,False,False
sqlite,contact_insert,target_eq,target_constant_both_0,service,contact_insert--target_constant_both_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,target_constant_both_1,service,contact_insert--target_constant_both_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_constant_p1_0,service,contact_insert--payload_constant_p1_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_constant_p1_1,service,contact_insert--payload_constant_p1_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_constant_p2_0,service,contact_insert--payload_constant_p2_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_constant_p2_1,service,contact_insert--payload_constant_p2_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_constant_both_0,service,contact_insert--payload_constant_both_0,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_constant_both_1,service,contact_insert--payload_constant_both_1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,target_flip_p1,service,contact_insert--target_flip_p1,True,identity,identity,False,False,False,True,False,False,False
sqlite,contact_insert,target_eq,target_flip_p2,service,contact_insert--target_flip_p2,True,identity,identity,False,False,False,True,False,False,False
sqlite,contact_insert,target_eq,target_flip_both,service,contact_insert--target_flip_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_flip_p1,service,contact_insert--payload_flip_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_flip_p2,service,contact_insert--payload_flip_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_flip_both,service,contact_insert--payload_flip_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,target_from_payload_p1,service,contact_insert--target_from_payload_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,target_from_payload_p2,service,contact_insert--target_from_payload_p2,True,identity,identity,False,False,False,True,False,False,False
sqlite,contact_insert,target_eq,target_from_payload_both,service,contact_insert--target_from_payload_both,True,identity,identity,False,False,False,True,False,False,False
sqlite,contact_insert,target_eq,payload_from_target_p1,service,contact_insert--payload_from_target_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_from_target_p2,service,contact_insert--payload_from_target_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,payload_from_target_both,service,contact_insert--payload_from_target_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,contact_insert,target_eq,observer_drop_p1,observer_loss,contact_insert--observer_drop_p1,True,identity,identity,False,False,False,False,False,True,True
sqlite,contact_insert,target_eq,observer_duplicate_p1,observer_retry,contact_insert--observer_duplicate_p1,True,identity,identity,False,False,False,False,False,True,True
sqlite,contact_insert,target_eq,undeclared_probe_local_projection,projection,contact_insert--undeclared_probe_local_projection,True,identity,identity,False,False,False,True,False,True,True
sqlite,contact_insert,target_eq,masked_missing_p1,observer_masking,contact_insert--masked_missing_p1,True,identity,identity,True,True,True,True,False,False,False
