case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__clean__r000,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r000,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r000,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r000,record_update,clean,clean,cep,False,False,10,
record_update__clean__r001,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r001,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r001,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r001,record_update,clean,clean,cep,False,False,10,
record_update__clean__r002,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r002,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r002,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r002,record_update,clean,clean,cep,False,False,10,
record_update__clean__r003,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r003,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r003,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r003,record_update,clean,clean,cep,False,False,10,
record_update__clean__r004,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r004,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r004,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r004,record_update,clean,clean,cep,False,False,10,
record_update__clean__r005,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r005,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r005,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r005,record_update,clean,clean,cep,False,False,10,
record_update__clean__r006,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r006,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r006,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r006,record_update,clean,clean,cep,False,False,10,
record_update__clean__r007,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r007,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r007,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r007,record_update,clean,clean,cep,False,False,10,
record_update__clean__r008,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r008,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r008,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r008,record_update,clean,clean,cep,False,False,10,
record_update__clean__r009,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r009,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r009,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r009,record_update,clean,clean,cep,False,False,10,
record_update__clean__r010,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r010,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r010,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r010,record_update,clean,clean,cep,False,False,10,
record_update__clean__r011,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r011,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r011,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r011,record_update,clean,clean,cep,False,False,10,
record_update__clean__r012,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r012,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r012,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r012,record_update,clean,clean,cep,False,False,10,
record_update__clean__r013,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r013,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r013,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r013,record_update,clean,clean,cep,False,False,10,
record_update__clean__r014,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r014,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r014,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r014,record_update,clean,clean,cep,False,False,10,
record_update__clean__r015,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r015,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r015,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r015,record_update,clean,clean,cep,False,False,10,
record_update__clean__r016,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r016,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r016,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r016,record_update,clean,clean,cep,False,False,10,
record_update__clean__r017,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r017,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r017,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r017,record_update,clean,clean,cep,False,False,10,
record_update__clean__r018,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r018,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r018,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r018,record_update,clean,clean,cep,False,False,10,
record_update__clean__r019,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r019,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r019,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r019,record_update,clean,clean,cep,False,False,10,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_3,random_9"
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_3,random_9|target_nonresponsiveness:random_5,random_9"
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_1,random_9"
