case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__clean__r000,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r000,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r000,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r000,record_update,clean,clean,cep,False,False,10,
record_update__clean__r001,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r001,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r001,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r001,record_update,clean,clean,cep,False,False,10,
record_update__clean__r002,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r002,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r002,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r002,record_update,clean,clean,cep,False,False,10,
record_update__clean__r003,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r003,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r003,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r003,record_update,clean,clean,cep,False,False,10,
record_update__clean__r004,record_update,clean,clean,document_trust,False,False,0,
record_update__clean__r004,record_update,clean,clean,nominal_repeat,False,False,10,
record_update__clean__r004,record_update,clean,clean,random_relational_fuzzing,False,False,10,
record_update__clean__r004,record_update,clean,clean,cep,False,False,10,
record_update__clean_declared_audit__r000,record_update,clean_declared_audit,clean,document_trust,False,False,0,
record_update__clean_declared_audit__r000,record_update,clean_declared_audit,clean,nominal_repeat,False,False,10,
record_update__clean_declared_audit__r000,record_update,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_audit__r000,record_update,clean_declared_audit,clean,cep,False,False,10,
record_update__clean_declared_audit__r001,record_update,clean_declared_audit,clean,document_trust,False,False,0,
record_update__clean_declared_audit__r001,record_update,clean_declared_audit,clean,nominal_repeat,False,False,10,
record_update__clean_declared_audit__r001,record_update,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_audit__r001,record_update,clean_declared_audit,clean,cep,False,False,10,
record_update__clean_declared_audit__r002,record_update,clean_declared_audit,clean,document_trust,False,False,0,
record_update__clean_declared_audit__r002,record_update,clean_declared_audit,clean,nominal_repeat,False,False,10,
record_update__clean_declared_audit__r002,record_update,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_audit__r002,record_update,clean_declared_audit,clean,cep,False,False,10,
record_update__clean_declared_audit__r003,record_update,clean_declared_audit,clean,document_trust,False,False,0,
record_update__clean_declared_audit__r003,record_update,clean_declared_audit,clean,nominal_repeat,False,False,10,
record_update__clean_declared_audit__r003,record_update,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_audit__r003,record_update,clean_declared_audit,clean,cep,False,False,10,
record_update__clean_declared_audit__r004,record_update,clean_declared_audit,clean,document_trust,False,False,0,
record_update__clean_declared_audit__r004,record_update,clean_declared_audit,clean,nominal_repeat,False,False,10,
record_update__clean_declared_audit__r004,record_update,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_audit__r004,record_update,clean_declared_audit,clean,cep,False,False,10,
record_update__clean_declared_cache__r000,record_update,clean_declared_cache,clean,document_trust,False,False,0,
record_update__clean_declared_cache__r000,record_update,clean_declared_cache,clean,nominal_repeat,False,False,10,
record_update__clean_declared_cache__r000,record_update,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_cache__r000,record_update,clean_declared_cache,clean,cep,False,False,10,
record_update__clean_declared_cache__r001,record_update,clean_declared_cache,clean,document_trust,False,False,0,
record_update__clean_declared_cache__r001,record_update,clean_declared_cache,clean,nominal_repeat,False,False,10,
record_update__clean_declared_cache__r001,record_update,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_cache__r001,record_update,clean_declared_cache,clean,cep,False,False,10,
record_update__clean_declared_cache__r002,record_update,clean_declared_cache,clean,document_trust,False,False,0,
record_update__clean_declared_cache__r002,record_update,clean_declared_cache,clean,nominal_repeat,False,False,10,
record_update__clean_declared_cache__r002,record_update,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_cache__r002,record_update,clean_declared_cache,clean,cep,False,False,10,
record_update__clean_declared_cache__r003,record_update,clean_declared_cache,clean,document_trust,False,False,0,
record_update__clean_declared_cache__r003,record_update,clean_declared_cache,clean,nominal_repeat,False,False,10,
record_update__clean_declared_cache__r003,record_update,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_cache__r003,record_update,clean_declared_cache,clean,cep,False,False,10,
record_update__clean_declared_cache__r004,record_update,clean_declared_cache,clean,document_trust,False,False,0,
record_update__clean_declared_cache__r004,record_update,clean_declared_cache,clean,nominal_repeat,False,False,10,
record_update__clean_declared_cache__r004,record_update,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
record_update__clean_declared_cache__r004,record_update,clean_declared_cache,clean,cep,False,False,10,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_3,random_9"
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_2:unexpected_kinds=net_send|random_3:unexpected_kinds=net_send
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:unexpected_kinds=net_send|sensitive_2:unexpected_kinds=net_send
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:unexpected_kinds=net_send|random_7:unexpected_kinds=net_send
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:unexpected_kinds=net_send|sensitive_2:unexpected_kinds=net_send
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_8:unexpected_kinds=net_send
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:unexpected_kinds=net_send|sensitive_2:unexpected_kinds=net_send
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:unexpected_kinds=net_send
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:unexpected_kinds=net_send|sensitive_2:unexpected_kinds=net_send
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:unexpected_kinds=net_send|sensitive_2:unexpected_kinds=net_send
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:main_effect_count=2|random_5:main_effect_count=2
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:main_effect_count=2
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_6:main_effect_count=2|random_9:main_effect_count=2
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:main_effect_count=2
