case,compiled,consumer_allowed,consumer_correct,expected_allowed,expected_shape_ok,good_evidence_failed_claims,nonidentifiable_count,plan_hash,probe_count,rejection,relation_count
responsive_stable,True,True,True,True,True,0,0,2d60da7064c13ef17ab3a353c63b2332a705d47aeb883456efb6a20499d2be9b,3,,1
identity_revealed,True,True,True,True,True,0,0,e590e7f1fa8c5635316dfef4c6ef17dc0b0d9db47b2e5651bda93bc52f4164f9,3,,2
identity_stable_anonymous,True,False,True,False,True,0,1,aeedbca6a20deb71caae03d94987cf239881b2ae21e4266d4069e068896898bf,1,,0
responsive_clone_local,True,False,True,False,True,0,1,bf7fbf07e69b64566480965610815c3ff6321b1c463a6b65a1fe783c55905850,1,,0
ambient_stable,True,True,True,True,True,0,0,1bed6a8b4b7b56ba2024d3b110de270b8b46779a662945be3d2b32cf06159f92,3,,1
ambient_clone_local,True,False,True,False,True,0,1,806cae4ff8c18b50d6ac58a4c209a36f62b572983f8e3f4cf3834e01541d02d7,1,,0
two_payload_factors,True,True,True,True,True,0,0,0d4ae195a765c8092b9ee897840e4e8d60a21763d2c4d08cb81404965aa057b8,5,,2
auxiliary_allowed,True,True,True,True,True,0,0,369e12455739eca280fd00d418e115bbcaf6756e37fc76033103f39c2e61a187,1,,0
combined,True,True,True,True,True,0,0,e7ab20202133973a498d203513c0071a1fac5349c3d382dadffdacc97ee66eea,7,,3
count_zero,False,False,True,False,True,,,,,当前方法只支持一元主效应合同；exact_primary_count 必须等于 1,
count_two,False,False,True,False,True,,,,,当前方法只支持一元主效应合同；exact_primary_count 必须等于 1,
unknown_factor,False,False,True,False,True,,,,,不支持的载荷禁止因素：['session_secret'],
duplicate_auxiliary,False,False,True,False,True,,,,,允许的辅助效应类型不能重复,
