candidate_correct,candidate_manual_equal,candidate_violation,case,compiled_manual_plan_equal,expected_violation,failed_claims,family,manual_correct,manual_violation,probe_count,raw_differs_from_clean,raw_execution_hash,variant
True,True,False,contact_responsiveness,True,False,,contact_add,True,False,3,False,8fa7e34d8ebfe3b1a26e7e0f9b23f02e36ddcadb036d367d53fa974dfd2b61fa,clean
True,True,True,contact_responsiveness,True,True,relation.target.responsive,contact_add,True,True,3,True,cc8a2ea15942c16f4deed0982951964f6ab04778d6f9cf7c8064f5dca1b656e3,fixed_target
True,True,False,contact_responsiveness,True,False,,contact_add,True,False,3,True,c8c05559cfc3e7dd765f0426437cf554c8dbb4bcbb0d14de797741b58d682023,wrong_identity
True,True,True,contact_responsiveness,True,True,probe.primary_count.exactly_one|relation.target.responsive,contact_add,True,True,3,True,294fd6cfe028f92c1a9876a2a67693a7e0478274229b68f384de815f3946a581,count_two
True,True,True,contact_responsiveness,True,True,probe.primary_count.exactly_one|relation.target.responsive,contact_add,True,True,3,True,f885cea337aa3f51facef8ffbabf419eaa248854077173f5ea3301a5e0184b90,forbidden_auxiliary
True,True,False,message_ambient_and_auxiliary,True,False,,message_send,True,False,3,False,7e39a5b0aa408f54e2d11dec9a9a22cc9a70298953288aaaf5eb3b9ec48d6b0c,clean
True,True,True,message_ambient_and_auxiliary,True,True,relation.payload.invariant:ambient_canary,message_send,True,True,3,True,c30969ba21995b0e2c52cc859544e817a32fc1c20d4e7da311ebbbecbfa02f83,ambient_payload_capture
True,True,False,message_ambient_and_auxiliary,True,False,,message_send,True,False,3,True,d9cd5fae83d13d331af538face9834d3a7f9498ab3868de34fa9010dca3c081e,allowed_auxiliary
True,True,True,message_ambient_and_auxiliary,True,True,probe.auxiliary_kinds.allowed_only,message_send,True,True,3,True,b2872ac61fa61645e605119b26cf5530ef010cb292ae5e5685225c5ddcd699ce,forbidden_auxiliary
True,True,True,message_ambient_and_auxiliary,True,True,probe.primary_count.exactly_one|relation.payload.invariant:ambient_canary,message_send,True,True,3,True,fa73dd7fb079c52845894bd959d2e9a917fe4ea6889e0a50375520de819746be,count_two
True,True,False,reminder_responsive_sensitive_and_auxiliary,True,False,,reminder_modify,True,False,5,False,23aa18aff9c03a8d6f07bbee035e4249705cf1b5338f10577301807f4f96ac0b,clean
True,True,True,reminder_responsive_sensitive_and_auxiliary,True,True,relation.target.responsive,reminder_modify,True,True,5,True,3aa16e121df1a363657b3745c1cd38067b8519cf3565b921168113aa093ed841,fixed_target
True,True,False,reminder_responsive_sensitive_and_auxiliary,True,False,,reminder_modify,True,False,5,True,04b7990b4cc78051be93d692bb40a1f00db2e55b7501dfe1c0f59c46c9a23bcf,wrong_identity
True,True,True,reminder_responsive_sensitive_and_auxiliary,True,True,relation.payload.invariant:sensitive_input,reminder_modify,True,True,5,True,287901ceac7b04d528c553ef7255a2c33bf28eb6ccb78fd1800fcb6effcbbaa4,sensitive_payload_capture
True,True,False,reminder_responsive_sensitive_and_auxiliary,True,False,,reminder_modify,True,False,5,True,d0b189ee73d7097175907aaf6b1356cd2bfd1f7e041294298a8739937d2bdb18,allowed_auxiliary
True,True,True,reminder_responsive_sensitive_and_auxiliary,True,True,probe.auxiliary_kinds.allowed_only,reminder_modify,True,True,5,True,9cf407e555c25259ab05a8b0d50c36b26c19090c415fbbc30dd049b8c2a03a50,forbidden_auxiliary
True,True,True,reminder_responsive_sensitive_and_auxiliary,True,True,probe.primary_count.exactly_one|relation.payload.invariant:sensitive_input|relation.target.responsive,reminder_modify,True,True,5,True,e3dd106cb1b79d604f23289f91d6b17128a22e50f5d01cd4108f8b42a3fbe5f8,count_two
True,True,False,reminder_revealed_identity_two_factors,True,False,,reminder_add,True,False,7,False,35d25b50648bd80875e6417955eb2d14a4eb17a9ff84e26ef873abae2b5476b0,clean
True,True,True,reminder_revealed_identity_two_factors,True,True,relation.target.identity,reminder_add,True,True,7,True,6a7d7242337bd057a87738e500a95bb7c8131aefe08ee3d3cbb1e91948a2a5be,wrong_identity
True,True,True,reminder_revealed_identity_two_factors,True,True,relation.payload.invariant:ambient_canary,reminder_add,True,True,7,True,f5fa5651b60ac138217b0f7acf12259b3c64fbd016dd6b891c510f0533b2bfec,ambient_payload_capture
True,True,True,reminder_revealed_identity_two_factors,True,True,relation.payload.invariant:sensitive_input,reminder_add,True,True,7,True,fe702ec5ff9f2e0b36c329df36c0529bd9619c7a3ff8e7005f149f450db0ee53,sensitive_payload_capture
True,True,True,reminder_revealed_identity_two_factors,True,True,probe.primary_count.exactly_one|relation.payload.invariant:ambient_canary|relation.payload.invariant:sensitive_input|relation.target.identity,reminder_add,True,True,7,True,8e50a6e5abd1d6a18386010f279a3e6d253eb7dcdd5a8cf024ac7bda3f545349,count_two
True,True,True,reminder_revealed_identity_two_factors,True,True,probe.auxiliary_kinds.allowed_only,reminder_add,True,True,7,True,58410348ffd541cbea51845c2973233096b4b35b4e15727a88d7f5173c0470e9,forbidden_auxiliary
