allowed,case,correct,expected_allowed,reasons,scenario
True,contact_responsiveness,True,True,,exact
False,contact_responsiveness,True,False,contract_hash_mismatch,stale_contract
False,contact_responsiveness,True,False,projection_hash_mismatch,stale_projection
False,contact_responsiveness,True,False,tool_version_mismatch,stale_tool_version
True,message_ambient_and_auxiliary,True,True,,exact
False,message_ambient_and_auxiliary,True,False,contract_hash_mismatch,stale_contract
False,message_ambient_and_auxiliary,True,False,projection_hash_mismatch,stale_projection
False,message_ambient_and_auxiliary,True,False,tool_version_mismatch,stale_tool_version
True,reminder_responsive_sensitive_and_auxiliary,True,True,,exact
False,reminder_responsive_sensitive_and_auxiliary,True,False,contract_hash_mismatch,stale_contract
False,reminder_responsive_sensitive_and_auxiliary,True,False,projection_hash_mismatch,stale_projection
False,reminder_responsive_sensitive_and_auxiliary,True,False,tool_version_mismatch,stale_tool_version
True,reminder_revealed_identity_two_factors,True,True,,exact
False,reminder_revealed_identity_two_factors,True,False,contract_hash_mismatch,stale_contract
False,reminder_revealed_identity_two_factors,True,False,projection_hash_mismatch,stale_projection
False,reminder_revealed_identity_two_factors,True,False,tool_version_mismatch,stale_tool_version
