file_type	field	description
record	evidence_id	Unique evidence record identifier.
record	source	Article-level metadata including DOI, title, journal, year, authors and source path when available.
record	pico	Structured study context including study object, intervention, comparison and outcome metrics.
record	core_entities	Extracted biomedical entities with raw name, semantic class and normalized identifier when available.
record	target_disease	Disease context for the record: HCC, CRC or SLE.
record	bio_mechanism	Reported biological mechanism text when available.
record	phenotype	Reported phenotype, clinical outcome or biological effect when available.
record	experimental_context	Assay, model, patient group, trial or other study context.
record	study_design	Study type label such as cohort, rct, in_vivo, in_vitro, meta_analysis, case_control or computational.
record	clinical_stage	Translational stage label such as preclinical, clinical, phase_i, phase_ii, phase_iii or phase_iv.
record	statistics	Extracted quantitative attributes including p_value, sample_size, fold_change, confidence_interval and effect_size.
record	score	Computational evidence-quality metadata including component scores, composite score and grade level.
record	source_text	Supporting text span from the source article.
record	linked_tarkg_entities	List of normalized TarKG-compatible entity identifiers linked from the record.
record	evidence_relations	Relations from this evidence record to other evidence records.
record	merged_from	Identifiers of records absorbed during duplicate handling.
record	review_status	Curation status field retained for future manual review.
graph	directed	Boolean flag indicating directed graph representation.
graph	multigraph	Boolean flag indicating whether parallel edges are represented.
graph	graph	Release-level graph metadata.
graph	nodes	Evidence nodes and normalized entity nodes.
graph	edges	Evidence-to-entity and evidence-to-evidence edge records.
